               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,              0.1003,             0.17391,            0.027839,             0.34167,             0.29825,             0.25913,             0.12923,            0.096853,             0.23772,            0.032199,           0.0082207,           0.0082207,           0.0082207
                  90,             0.10028,             0.17235,             0.02791,             0.37541,             0.27876,             0.25811,             0.12862,            0.096848,             0.23758,            0.032173,            0.008183,            0.008183,            0.008183
                  91,             0.10037,             0.17493,            0.028088,             0.34412,              0.2926,              0.2575,             0.12839,            0.096827,             0.23775,            0.032175,            0.008145,            0.008145,            0.008145
                  92,            0.099645,             0.17269,            0.027879,             0.37251,             0.27659,             0.25782,             0.12931,            0.096799,             0.23768,             0.03218,           0.0081068,           0.0081068,           0.0081068
                  93,             0.10011,             0.17333,            0.027806,             0.38818,             0.27158,             0.25879,             0.12951,            0.096798,             0.23762,            0.032131,           0.0080682,           0.0080682,           0.0080682
                  94,            0.099812,             0.17135,            0.027742,             0.40244,             0.26639,             0.25736,              0.1287,            0.096796,             0.23768,            0.032138,           0.0080294,           0.0080294,           0.0080294
                  95,             0.10008,             0.17312,            0.027962,             0.38358,             0.27442,             0.25697,             0.12875,            0.096768,             0.23768,             0.03212,           0.0079903,           0.0079903,           0.0079903
                  96,            0.099992,             0.17276,            0.027762,             0.35471,             0.29213,             0.25888,             0.12956,            0.096765,             0.23741,             0.03212,           0.0079509,           0.0079509,           0.0079509
                  97,             0.10012,             0.17276,            0.027789,             0.38933,             0.27625,             0.26042,             0.12995,             0.09673,             0.23741,            0.032107,           0.0079112,           0.0079112,           0.0079112
                  98,             0.10001,             0.17256,            0.027737,             0.38633,             0.27721,             0.26136,             0.13074,            0.096704,             0.23765,             0.03209,           0.0078713,           0.0078713,           0.0078713
                  99,            0.099911,             0.17375,            0.027763,             0.38804,             0.27633,              0.2607,             0.13051,            0.096669,             0.23741,            0.032068,           0.0078311,           0.0078311,           0.0078311
                 100,            0.099741,             0.17379,            0.027722,             0.41342,             0.26712,              0.2613,             0.13083,            0.096661,             0.23753,            0.032097,           0.0077907,           0.0077907,           0.0077907
                 101,             0.09997,             0.17376,            0.027956,             0.38965,              0.2755,             0.26165,             0.13069,            0.096655,             0.23755,            0.032092,             0.00775,             0.00775,             0.00775
                 102,             0.10005,             0.17433,            0.027778,             0.38279,             0.27978,             0.26213,             0.13068,            0.096634,             0.23762,            0.032096,           0.0077091,           0.0077091,           0.0077091
                 103,            0.099353,             0.17004,            0.027478,             0.39695,             0.27424,             0.26191,             0.13093,             0.09661,             0.23748,            0.032086,           0.0076679,           0.0076679,           0.0076679
                 104,            0.099946,             0.17061,            0.027715,             0.37856,             0.28186,             0.26157,             0.13122,            0.096589,             0.23741,            0.032077,           0.0076265,           0.0076265,           0.0076265
                 105,            0.099803,             0.17253,            0.027352,              0.3783,             0.28481,             0.26264,              0.1315,            0.096587,             0.23736,            0.032089,           0.0075848,           0.0075848,           0.0075848
                 106,            0.099627,             0.17137,            0.027642,             0.36556,             0.28856,             0.26217,             0.13134,            0.096587,             0.23742,            0.032055,            0.007543,            0.007543,            0.007543
                 107,             0.09979,             0.17089,            0.027652,             0.36219,             0.29061,             0.26265,             0.13102,            0.096587,             0.23739,            0.032028,           0.0075009,           0.0075009,           0.0075009
                 108,            0.099806,             0.17198,            0.027468,             0.38818,             0.27635,             0.26196,              0.1313,            0.096568,             0.23741,            0.032038,           0.0074585,           0.0074585,           0.0074585
                 109,            0.099443,              0.1711,            0.027406,             0.38511,             0.27863,             0.26279,             0.13182,            0.096553,             0.23741,            0.032016,            0.007416,            0.007416,            0.007416
                 110,            0.099507,             0.17153,            0.027639,             0.35245,             0.29575,             0.26278,             0.13178,            0.096545,             0.23734,            0.032015,           0.0073733,           0.0073733,           0.0073733
                 111,            0.099361,             0.17047,            0.027542,             0.36046,             0.29064,             0.26304,             0.13204,            0.096531,             0.23735,            0.032007,           0.0073303,           0.0073303,           0.0073303
                 112,            0.099752,             0.17336,            0.027582,             0.39506,             0.27532,             0.26274,             0.13203,             0.09652,             0.23739,            0.031995,           0.0072872,           0.0072872,           0.0072872
                 113,            0.099694,             0.17383,            0.027503,              0.3862,             0.28075,             0.26321,             0.13229,            0.096515,             0.23733,            0.031982,           0.0072438,           0.0072438,           0.0072438
                 114,            0.099633,             0.17232,            0.027519,             0.37558,             0.28723,             0.26336,              0.1325,            0.096495,             0.23736,             0.03197,           0.0072003,           0.0072003,           0.0072003
